venue.id,mean,sd,park_effect,park_effect_halved,park_effect_p_1sd,park_effect_m_1sd,park_effect_halved_m_1sd,park_effect_halved_p_1sd,venue.name,years,level,year,teams.home.team.id,teams.home.team.name,level_num
2510,1.6201039715530532,0.7845677197246833,119,109,137,101,100,118,Estadio Jose Bernardo Perez,1,Winter League,2019,696,Navegantes del Magallanes,17
4209,1.6518668361165882,1.412100427289787,119,110,151,87,94,126,Perth Harley-Davidson Ballpark,1,Winter League,2019,4068,Perth Heat,17
2854,1.5876993912912438,0.561732266397827,119,109,131,106,103,116,LoanMart Field,2,Class A Advanced,2019,526,Rancho Cucamonga Quakes,13
4710,1.7024418618532124,0.6883372280086473,119,110,135,104,102,117,Estadio Charros de Jalisco,2,Winter League,2019,674,Charros de Jalisco,17
2510,1.67953759091025,1.4553803451408012,119,109,151,87,93,126,Estadio Jose Bernardo Perez,3,Winter League,2019,696,Navegantes del Magallanes,17
3030,1.6926830241228532,0.4865214997501806,119,110,130,108,104,115,Estadio Alfonso Carrasquel,4,Winter League,2019,694,Caribes de Anzoategui,17
2822,1.5842553045811536,0.5101077261883019,119,109,130,107,103,115,Cooley Law School Stadium,5,Class A,2019,499,Lansing Lugnuts,14
4629,1.661079542408294,1.3363245967427442,119,109,149,89,95,124,Sloan Park,5,Winter League,2019,555,Mesa Solar Sox,17
2956,1.8090036686266966,0.5847511158172741,118,109,130,107,103,115,Estadio de la Revolucion,1,Triple-A,2010,447,Vaqueros de la Laguna,11
2722,1.7079994850893268,0.8210038746216959,118,109,136,101,101,118,Hammons Field,1,Double-A,2011,440,Springfield Cardinals,12
2869,1.7843214553742601,1.3004334326587301,118,109,143,92,96,122,Estadio Hermanos Serdan,2,Triple-A,2011,520,Pericos de Puebla,11
2951,1.7916626728440235,1.2893254277044552,118,109,143,93,96,122,Parque Lic. Eduardo Vasconcelos,2,Triple-A,2011,579,Guerreros de Oaxaca,11
2859,1.6167001550138662,0.46907817905660815,118,109,128,108,104,114,Volcanoes Stadium,2,Class A Short Season,2011,578,Salem-Keizer Volcanoes,15
2603,1.7268462554415538,1.1970418991749543,118,109,143,93,97,122,Surprise Stadium,2,Winter League,2011,542,Surprise Saguaros,17
2835,1.63365448493337,0.5349274116733456,118,109,129,106,103,115,Recreation Park,1,Class A Advanced,2012,516,Visalia Rawhide,13
2951,1.8161332834322421,0.5305080765424978,118,109,129,108,104,114,Parque Lic. Eduardo Vasconcelos,2,Triple-A,2012,579,Guerreros de Oaxaca,11
2835,1.6983780538651378,0.4019622660871379,118,109,127,110,105,113,Recreation Park,2,Class A Advanced,2012,516,Visalia Rawhide,13
2530,1.6988456536491894,0.638451695295203,118,109,131,105,102,116,Peoria Stadium,2,Winter League,2012,490,Peoria Javelinas,17
3070,1.7163080403471114,0.5644712251151572,118,109,130,106,103,115,Hector Espino,2,Winter League,2012,677,Naranjeros de Hermosillo,17
2859,1.5806829446029438,0.41167614490465226,118,109,127,109,104,113,Volcanoes Stadium,3,Class A Short Season,2012,578,Salem-Keizer Volcanoes,15
3834,1.7395439961859644,0.4559784470912328,118,109,127,109,104,114,Goodyear Ballpark,3,Rookie,2012,3430,AZL Reds,16
2507,1.7155400806102101,1.1671337235697363,118,109,142,94,97,121,Hohokam Park,3,Winter League,2012,555,Mesa Solar Sox,17
3032,1.6253913288254116,0.6718368565602801,118,109,133,103,102,117,Estadio Antonio Herrera Gutierrez,1,Winter League,2013,693,Cardenales de Lara,17
2859,1.5202582535060174,0.4843479374009044,118,109,129,107,103,115,Volcanoes Stadium,2,Class A Short Season,2013,578,Salem-Keizer Volcanoes,15
3809,1.700127002667219,0.6557213810694408,118,109,131,104,102,116,Camelback Ranch,2,Rookie,2013,2690,AZL Dodgers,16
3029,1.645953225250059,0.9665776155770942,118,109,138,97,99,119,Estadio Universitario,2,Winter League,2013,695,Leones del Caracas,17
2603,1.7196061576287256,1.143079580674291,118,109,141,95,97,120,Surprise Stadium,3,Rookie,2013,411,AZL Rangers,16
2683,1.7718329084217768,1.0934169394068043,118,109,141,96,98,120,Isotopes Park,1,Triple-A,2014,342,Albuquerque Isotopes,11
